Test,Data Size,BST Insert Time (ms),BST Find Time (ms),BST Delete Time (ms),Counting Sort Time (ms)
1,68685,24.4559,12.8118,29.7653,5.1404
2,18830,8.0024,2.7923,6.1441,0.8914
3,42428,14.3164,5.6825,15.3681,1.2454
4,52365,15.7573,6.6496,15.3855,0.9354
5,65095,23.5649,10.0802,23.8813,1.6907
6,40910,15.6788,5.2961,13.6994,1.2375
7,77954,26.9868,11.8259,26.6585,1.5545
8,11764,3.1388,1.1832,3.2358,0.5357
9,55298,19.0927,7.4795,18.6509,1.3935
10,82442,26.9715,11.5204,25.7894,1.3986
11,56326,16.0918,6.8003,15.6032,0.8953
12,73581,22.2778,9.4983,20.8996,1.1246
13,6880,1.6039,0.5808,1.6354,0.7275
14,77108,10.969,4.8594,1.4602,0.7266
15,52931,16.8908,6.8152,17.7557,1.0965
16,66617,22.2081,9.3928,22.2416,1.4542
17,95521,19.2218,8.5006,6.4725,1.0074
18,80098,26.0655,11.0734,25.7672,1.4572
19,25212,8.1114,2.9332,7.5917,1.0248
20,47043,9.8811,3.9812,6.9648,0.5439
21,6028,1.3338,0.4757,1.3666,0.2962
22,88223,29.0957,12.8449,28.8947,1.6658
23,72684,22.3076,9.6728,23.0733,1.5047
24,92863,28.9613,12.1844,25.9143,1.3965
25,60618,20.9824,7.9592,18.293,1.2381
26,37916,7.9761,2.8701,3.5431,0.4376
27,93343,31.1315,13.5558,32.3388,1.7869
28,27177,8.0577,3.2216,8.2685,0.7211
29,42489,13.0104,5.2865,13.0035,0.8188
30,9155,2.1822,0.8243,2.3406,0.3612
31,89338,22.2695,9.83,14.1001,1.0796
32,64047,20.4942,8.3714,19.2206,1.1758
33,7765,1.9164,0.696,2.0118,0.7425
34,56956,11.6957,4.6876,5.3529,0.6083
35,37559,8.8744,3.7019,8.0494,0.4991
36,68989,21.2772,9.4383,21.1873,1.2309
37,92750,26.4677,11.5655,22.9746,1.2842
38,80776,23.8279,10.1399,21.971,1.2094
39,75022,23.2961,9.3325,22.3457,1.3329
40,21588,5.7616,2.3183,6.5329,0.6127
41,22765,5.811,2.4403,5.9722,0.4413
42,95127,29.3431,12.9758,28.9902,1.6918
43,27030,7.5842,3.0546,7.7782,0.6403
44,14352,4.1732,1.4303,4.0203,0.6384
45,51476,14.9012,6.2691,14.8582,0.9518
46,66094,23.1724,8.7233,21.7569,1.7107
47,79250,30.7347,15.006,28.0491,1.6888
48,95350,33.376,14.3347,32.7953,1.8164
49,82129,21.7418,9.6731,16.4981,1.0387
50,11846,3.1985,1.1964,3.2836,0.6485
51,99849,35.479,14.4043,30.4707,1.6591
52,12206,3.1972,1.1923,3.1945,0.3732
53,32544,10.0006,4.02,10.1781,0.8793
54,88981,31.5047,13.6369,31.271,1.8763
55,36077,10.1969,4.2596,10.4097,0.6678
56,40882,10.8146,4.6302,10.6238,0.6459
57,82061,21.7006,9.5277,16.9707,1.0462
58,75703,24.0148,9.7562,21.684,1.2247
59,52261,16.6723,6.8285,16.6903,1.3808
60,44200,7.5835,3.1726,2.4823,0.5073
61,80319,27.5212,11.7707,30.3192,1.8812
62,64349,18.0838,7.9449,17.3926,0.9542
63,71716,27.6945,10.7457,25.2778,1.6222
64,34589,11.2915,4.2346,10.8163,1.0578
65,13977,1.7384,0.7448,0.3449,0.1198
66,99356,33.978,14.5085,34.697,1.9174
67,82167,35.7198,12.6142,28.8452,1.7301
68,38736,13.3284,5.2606,13.1048,1.2406
69,21340,3.5558,1.431,1.4008,0.2543
70,25640,7.843,3.2251,8.052,1.1818
71,54113,16.842,6.5471,15.2239,0.9443
72,87365,29.9278,13.355,32.2282,1.7741
73,37624,11.9232,4.7655,12.2443,1.1188
74,72273,23.6185,10.1427,23.5266,1.4343
75,13562,3.5111,1.2756,3.3644,0.3072
76,38770,11.5968,4.7668,11.8576,0.836
77,12369,2.8835,1.1601,2.92,0.1648
78,44288,13.7962,5.6009,13.8633,0.9236
79,21476,6.4582,2.4171,6.4414,0.9656
80,84863,22.4389,9.6686,16.9165,1.0509
81,24834,6.8769,2.9868,7.1575,0.6213
82,80886,25.3466,10.7876,24.373,1.361
83,7936,1.6523,0.6045,1.6412,0.1087
84,25778,7.2978,3.0498,7.5168,0.69
85,95124,22.3757,9.9755,13.3167,1.0777
86,48337,14.3675,5.5155,13.3619,0.854
87,48860,11.2216,4.5408,8.4752,0.5821
88,80773,23.6994,10.12,22.5018,1.2206
89,94363,28.4498,12.9,26.4513,1.4306
90,92852,30.0545,12.8575,30.2823,1.5935
91,8500,2.0211,0.7374,2.0726,0.3457
92,30784,9.2077,4.0552,11.3048,1.1247
93,7314,1.8532,0.7802,1.8492,0.2771
94,40383,13.2304,5.1669,12.9851,1.1394
95,63384,21.1558,8.8585,21.2405,1.3503
96,92678,27.6425,12.1718,25.8653,1.3873
97,77817,27.2352,11.0341,41.185,2.2105
98,6705,1.9247,0.7126,2.1172,0.8611
99,9053,2.5337,0.8436,2.3296,0.7444
100,6832,1.5709,0.5674,1.6044,0.3418
